City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Cayenne,GF,77.0,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
194,Bengkulu,ID,77.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
196,Manggar,ID,80.83,overcast clouds,-2.8833,108.2667,Guest Hotel
197,Riyadh,SA,78.8,clear sky,24.6877,46.7219,InterContinental Riyadh
198,Savannah Bight,HN,81.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
201,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
203,Sola,VU,81.57,overcast clouds,-13.8833,167.55,Leumerus Bungalows
207,Muros,ES,75.0,clear sky,42.7762,-9.0603,Apartment Av. Castelao
211,Progreso,MX,80.01,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
213,Dao,PH,76.5,scattered clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
215,Alugan,PH,81.55,overcast clouds,12.2188,125.4808,JM Lodge
216,Cidreira,BR,75.09,clear sky,-30.1811,-50.2056,Hotel Castelo
217,Tabou,CI,83.34,light rain,4.423,-7.3528,hotêl doufoulougou
219,Buchanan,LR,84.2,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
226,Tessalit,ML,96.62,clear sky,20.1986,1.0114,
227,Pitimbu,BR,86.0,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
229,Namibe,AO,79.7,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
231,Surt,LY,87.17,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
232,Kodinar,IN,78.73,clear sky,20.7903,70.7031,Gayatri Auto advisor
236,Manaure,CO,85.53,broken clouds,11.7751,-72.4445,Hotel Palaaima
240,Manta,EC,82.4,broken clouds,-0.95,-80.7333,Balandra Hotel
242,Parana,AR,84.99,broken clouds,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
249,Kindu,CD,76.8,broken clouds,-2.95,25.95,Résidence Okanda
250,Katobu,ID,78.33,overcast clouds,-4.9408,122.5276,La Ode Husein
253,Kavaratti,IN,82.99,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
260,Maicao,CO,87.04,overcast clouds,11.3832,-72.2432,Hotel Sancho
261,Tutoia,BR,87.8,broken clouds,-2.7619,-42.2744,Pousada Guará's
265,Bol,TD,83.01,clear sky,13.4586,14.7147,Hotel 3 Etoiles
268,Buala,SB,79.93,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
272,Metro,ID,76.62,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
276,Kokopo,PG,76.15,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
281,Banda Aceh,ID,80.53,overcast clouds,5.5577,95.3222,Sulthan Hotel International
282,Port Hedland,AU,77.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
285,Macau,MO,75.2,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
286,Kembe,CF,88.54,overcast clouds,4.6228,21.8865,
289,Samana,DO,78.8,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
291,Adiake,CI,89.6,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
293,Quatre Cocos,MU,81.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
296,Sambava,MG,80.04,clear sky,-14.2667,50.1667,Melrose
297,Vila Velha,BR,80.6,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
299,Andradina,BR,91.74,broken clouds,-20.8961,-51.3794,DELTA HOTEL
301,Saint-Joseph,RE,82.4,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
304,Bandundu,CD,85.95,broken clouds,-3.3167,17.3667,Coja Color
307,Chuy,UY,76.48,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
309,Akyab,MM,79.88,clear sky,20.15,92.9,Hotel Memory
312,Beruwala,LK,80.26,few clouds,6.4788,79.9828,The Palms Hotel
314,Larap,PH,77.04,clear sky,14.299000000000001,122.6504,Montemayor Cove
316,Sulangan,PH,82.17,broken clouds,11.1373,123.7228,Maia's Beach Resort
319,La Joya,MX,80.01,clear sky,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
321,Labuhan,ID,77.14,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
324,Hatillo,PR,86.0,clear sky,18.4863,-66.8254,Hotel Parador El Buen Cafe
327,Mouila,GA,79.63,moderate rain,-1.8685,11.0559,Hôtel du Lac Bleu
330,Viedma,AR,84.4,clear sky,-40.8135,-62.9967,Hotel Cristal
333,Auki,SB,78.3,overcast clouds,-8.7676,160.7034,Auki Motel
347,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
348,Bandarbeyla,SO,80.69,few clouds,9.4942,50.8122,JABIR HOTEL
349,Tivaouane,SN,93.2,clear sky,14.9515,-16.8129,Palais des hôtes de Tivaouane
354,Yenagoa,NG,89.42,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
356,Mbini,GQ,87.8,light rain,1.574,9.6134,
359,Acari,PE,81.3,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
360,Key West,US,75.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
368,Kutum,SD,83.8,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
375,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
379,Marsa Matruh,EG,84.2,clear sky,31.3525,27.2453,Beau Site
380,Minas Novas,BR,78.3,broken clouds,-17.2186,-42.5903,J K Palace Hotel
381,Zaria,NG,96.8,clear sky,11.1113,7.7227,A.B.U Hotels
382,Vicencia,BR,82.4,scattered clouds,-7.6569,-35.3267,Silva e Lemos House
384,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
389,Mineros,BO,84.2,broken clouds,-17.1167,-63.2333,Residencial Imperial
392,Santa Cruz,BO,84.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
395,Omboue,GA,81.68,light rain,-1.5746,9.2618,Hotel Olako
396,Moengo,SR,86.09,overcast clouds,5.6167,-54.4,Masanga
400,Riberalta,BO,84.2,light rain,-10.9833,-66.1,Hotel Colonial
401,Sarangani,PH,83.57,broken clouds,5.4033,125.4636,Ballistic Islet
404,Sahuaripa,MX,81.01,clear sky,29.05,-109.2333,Hotel El Molino
405,Itamaraju,BR,81.27,broken clouds,-17.0392,-39.5311,Hotel Vista Bela
406,Puro,PH,79.68,clear sky,12.4841,123.3827,
407,Benguela,AO,82.36,broken clouds,-12.5763,13.4055,Hotel Praia Morena
408,Black River,JM,82.99,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
413,Umaria,IN,80.74,clear sky,23.5333,80.8333,Krishna Palace
414,Asosa,ET,82.24,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
428,Polewali,ID,77.49,overcast clouds,-3.4324,119.3435,Lilianto Hotel
431,Koungou,YT,84.2,broken clouds,-12.7336,45.2042,Villa Netibor
432,Tomatlan,MX,86.63,scattered clouds,19.9333,-105.25,Norma franco
434,Ambon,ID,80.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
