City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tasiilaq,GL,2021-04-01 22:53:08,65.6145,-37.6368,30.2,93,90,1.14
68,Sovetskaya,RU,2021-04-01 22:53:08,44.7769,41.1722,41.22,86,80,3.18
69,Iqaluit,CA,2021-04-01 22:53:08,63.7506,-68.5145,-13.0,64,1,10.36
70,Puerto Leguizamo,CO,2021-04-01 22:53:09,-0.1934,-74.7819,75.33,94,94,1.68
71,Usinsk,RU,2021-04-01 22:50:46,65.9939,57.5281,30.7,97,100,10.31
72,Ochamchira,GE,2021-04-01 22:53:09,42.7121,41.4721,48.34,91,100,3.11
73,Aracaju,BR,2021-04-01 22:53:09,-10.9111,-37.0717,82.4,74,20,12.66
74,Sahbuz,AZ,2021-04-01 22:53:10,39.4072,45.5739,50.0,53,20,4.61
75,Saint Anthony,US,2021-04-01 22:53:10,45.0205,-93.218,45.0,24,1,8.05
76,Port Hedland,AU,2021-04-01 22:53:10,-20.3167,118.5667,71.6,68,0,8.05
77,Emerald,AU,2021-04-01 22:53:11,-23.5333,148.1667,72.0,64,1,18.41
78,Kampong Thum,KH,2021-04-01 22:53:11,12.7111,104.8887,80.78,71,55,5.44
79,Qurayyat,SA,2021-04-01 22:53:11,31.3318,37.3428,53.6,47,0,6.91
80,Narsaq,GL,2021-04-01 22:53:12,60.9167,-46.05,37.4,81,75,6.91
81,Olinda,BR,2021-04-01 22:53:12,-8.0089,-34.8553,80.6,65,20,6.91
82,Dourbali,TD,2021-04-01 22:53:12,11.8091,15.8632,78.51,6,100,12.39
83,Bluff,NZ,2021-04-01 22:50:16,-46.6,168.3333,57.0,63,86,15.99
84,Port Lincoln,AU,2021-04-01 22:53:13,-34.7333,135.8667,73.54,50,0,7.74
85,Dikson,RU,2021-04-01 22:50:31,73.5069,80.5464,-10.19,81,100,7.38
86,Nelson Bay,AU,2021-04-01 22:52:09,-32.7167,152.15,66.99,100,75,5.75
87,Chokurdakh,RU,2021-04-01 22:53:13,70.6333,147.9167,-2.52,94,88,3.56
88,Codrington,AU,2021-04-01 22:53:13,-38.2667,141.9667,70.81,42,11,6.98
89,Bandarbeyla,SO,2021-04-01 22:53:14,9.4942,50.8122,76.26,74,32,2.91
90,Altamira,BR,2021-04-01 22:53:14,-3.2033,-52.2064,73.24,97,95,2.51
91,Pathein,MM,2021-04-01 22:53:14,16.7833,94.7333,76.66,84,70,6.71
92,Nanortalik,GL,2021-04-01 22:53:15,60.1432,-45.2371,35.91,87,100,6.02
93,Guozhen,CN,2021-04-01 22:53:15,34.3659,107.359,48.42,91,100,4.81
94,Marechal Candido Rondon,BR,2021-04-01 22:53:15,-24.5561,-54.0567,66.52,58,0,1.88
95,Norcasia,CO,2021-04-01 22:53:16,5.5778,-74.8852,75.25,85,100,2.37
96,Kapaa,US,2021-04-01 22:53:16,22.0752,-159.319,80.6,65,40,14.97
97,Jamestown,US,2021-04-01 22:53:16,42.097,-79.2353,28.99,74,90,20.71
98,Biak,ID,2021-04-01 22:53:17,-0.9131,122.8766,78.82,79,100,1.5
99,Kolvereid,NO,2021-04-01 22:53:17,64.8655,11.6047,38.98,75,99,20.51
100,Dese,ET,2021-04-01 22:53:17,11.1333,39.6333,52.47,35,7,1.39
101,Oktyabrskiy,RU,2021-04-01 22:53:17,54.4815,53.471,37.04,85,100,19.46
102,Demba,CD,2021-04-01 22:53:18,-5.51,22.2667,67.78,98,51,1.03
103,Belyy Yar,RU,2021-04-01 22:53:18,53.6039,91.3903,23.0,80,28,4.47
104,Vaini,TO,2021-04-01 22:49:56,-21.2,-175.2,84.2,79,75,9.22
105,Port Elizabeth,ZA,2021-04-01 22:52:54,-33.918,25.5701,60.8,82,75,4.61
